name,nmol,charge,massdiff,intr,netadduct,netfragment
[M+H]+,1,1,1.007276,0," ""H""",""""""
[M+Na]+,1,1,22.98977,0," ""Na""",""""""
[M+K]+,1,1,38.963708,0," ""K""",""""""
[M]+,1,1,0,1,,""""""
[M+2H]2+,1,2,2.014552,0," ""2H""",
[M+3H]3+,1,3,3.021828,0," ""3H""",
[M++Na]2+,1,2,22.98977,1," ""Na""",""""""
[M+2Na]2+,1,2,45.97954,0," ""2Na""",""""""
[M+NH4]+,1,1,18.033823,0," ""NH4""",""""""
[2M+H]+,2,1,1.007825,0," ""H""",""""""
[2M+Na]+,2,1,22.98977,0," ""Na""",""""""
[2M+K]+,2,1,38.963708,0," ""K""",""""""
[M+2K]2+,1,2,77.92742,0," ""2K""",""""""
[M+2K+H]+,1,1,76.919040,0," ""2KH""",""""""
[M+H+Na]2+,1,2,23.9976,0," ""NaH""",""""""
[M+H+K]2+,1,2,39.97153,0," ""KH""",""""""
[M+Na+K]2+,1,2,61.95348,0," ""NaK""",""""""
[M-C3H9N]+,1,1,-59.073499,1," """""," ""C3H9N"""
[M+H-CH4SO]+,1,1,-62.99046,0," ""H"""," ""CH4SO"""
[M+H-CH4S]+,1,1,-46.99555,0," ""H"""," ""CH4S"""
[M+H-C6H10O5]+,1,1,-161.045,0," ""H"""," ""C6H10O5"""
[M+H-C6H10O4]+,1,1,-145.0501,0," ""H"""," ""C6H10O4"""
[M+ACN+H]+,1,1,42.033823,0," ""ACNH""",""""""
[M-H2O]+,1,1,-18.011114,0,"""-H2O""",""""""